species	treatment	depth	time	settlement	condition	
cx	shell	shallow	3	88	shell-shallow	
cx	shell	shallow	3	92	shell-shallow	
cx	shell	shallow	3	78	shell-shallow	
cx	sand	shallow	3	64	sand-shallow	64.94444444
cx	sand	shallow	3	28	sand-shallow	
cx	sand	shallow	3	0	sand-shallow	
cx	sand	shallow	3	60	sand-shallow	
cx	sand	shallow	3	0	sand-shallow	
cx	sand	shallow	3	56	sand-shallow	
cx	sand	shallow	3	88	sand-shallow	
cx	sand	shallow	3	32	sand-shallow	
cx	sand	shallow	3	100	sand-shallow	
cx	sand	shallow	3	80	sand-shallow	
cx	sand	shallow	3	35	sand-shallow	
cx	sand	shallow	3	82	sand-shallow	
cx	sand	shallow	3	100	sand-shallow	
cx	sand	shallow	3	88	sand-shallow	
cx	sand	shallow	3	100	sand-shallow	
cx	sand	shallow	3	84	sand-shallow	
cx	sand	shallow	3	72	sand-shallow	
cx	sand	shallow	3	100	sand-shallow	
